case_Model,MRP,cpu_Model,MRP,internal-hard-drive_Model,MRP,memory_Model,MRP,motherboard_Model,MRP,power-supply_Model,MRP,video-card_Model,MRP,Total Price
Cooler Master MasterBox TD500 Mesh White w/ Controller,984.5,AMD Ryzen 5 5500,3392.36,Crucial T700,2476.69,Corsair Dominator Titanium 64 GB,3599.23,Asus PRIME B550M-A/CSM,3795.0,Corsair SF850L,351.17,XFX Speedster SWFT 210,2306.44,16905.39
GameMax Vista A,759.51,Intel Core i9-12900KF,1756.23,Seagate Constellation CS,1253.41,G.Skill Flare X5 64 GB,1031.73,MSI PRO B650-P WIFI,1141.03,SeaSonic PRIME TX-850,281.59,MSI RTX 3060 Ventus 3X 12G OC,6916.1,13139.6
Cougar MX330,275.35,Intel Core i9-10980XE,2016.5,Crucial P5 Plus,2041.06,Kingston ValueRAM 4 GB,2428.46,MSI MPG Z690 FORCE WIFI,3344.69,NZXT C1000 (2022),600.74,XFX Speedster SWFT 210 Core,2502.08,13208.88
NZXT H5 Flow RGB,660.89,Intel Core i7-7800X,4098.93,Lexar NM710,1842.92,Corsair Vengeance 128 GB,1484.63,Gigabyte Z790 AORUS MASTER X,2434.0,SeaSonic FOCUS GX,293.55,Gigabyte AORUS MASTER,6141.81,16956.73
Asus TUF Gaming GT502,501.1,Intel Core i5-10500,3359.79,Kingston Fury Renegade,319.24,TEAMGROUP T-Force Vulcan Z 16 GB,3235.12,Gigabyte X670 GAMING X AX V2,3612.65,EVGA 650 B5,530.77,Zotac GAMING Twin Edge,6357.93,17916.6
NZXT H510,958.94,Intel Core i5-11600K,2372.57,Western Digital SE,562.54,Corsair Vengeance LPX 64 GB,440.37,ASRock B760M Pro RS/D4 WiFi,3022.11,EVGA SuperNOVA 1200 P3,227.23,XFX Speedster SWFT 210,5990.97,13574.73
Phanteks Enthoo Pro 2 Server Edition,419.88,Intel Core i5-12500,2721.1,Crucial P3 Plus,38.75,G.Skill Aegis 32 GB,1181.15,Asus PRIME Z390-P,937.17,Asus TUF Gaming 1000G,509.12,Sapphire PURE,3988.62,9795.79
HYTE REVOLT 3,812.7,Intel Core i9-14900K,3735.65,Lexar NM620,1999.27,Crucial Pro 32 GB,498.68,Asus PRIME B550M-A WIFI II,3886.67,EVGA 750 BQ,71.2,MSI RTX 3060 Ventus 3X 12G OC,5974.52,16978.69
SAMA IM01,413.09,AMD Threadripper 1950X,620.81,SanDisk SSD PLUS,949.63,Corsair Vengeance 192 GB,46.57,Gigabyte X670E AORUS MASTER (rev. 1.0),1654.69,Corsair RM850e (2023),336.32,MSI D3H LP,5680.82,9701.93
Phanteks Enthoo Pro 2 Server Edition,120.39,Intel Core i7-6700K,3043.08,Western Digital Blue SN570,2066.18,Crucial CT8G48C40U5 8 GB,2807.52,MSI B550 GAMING GEN3,2364.98,Corsair SF1000L,628.54,MSI GAMING X SLIM,3124.46,14155.15
NZXT H5 Elite,291.76,AMD Threadripper 2970WX,219.42,MSI SPATIUM M570 HS,2316.86,TEAMGROUP T-Force Delta RGB 64 GB,1680.99,MSI MAG Z790 TOMAHAWK MAX WIFI,2780.31,SeaSonic FOCUS GX,362.06,Asus DUAL OC,2211.54,9862.94
GameMax Vista A,957.08,Intel Core i9-13900KS,2484.87,Leven JS600,1744.9,Corsair Dominator Titanium 32 GB,2200.27,MSI MAG B550 TOMAHAWK MAX WIFI,2022.16,Corsair AX1200,522.4,MSI GT 710 2GD3H LP,149.5,10081.18
Montech KING 95,286.8,Intel Core i7-4770K,4165.14,Toshiba MG10 512e,2050.2,G.Skill Trident Z5 Neo 32 GB,3415.86,ASRock B760M PG SONIC WiFi,1085.1,MSI MPG A850GF,194.67,PowerColor Red Devil,5040.15,16237.92
Asus TUF Gaming GT302 ARGB,608.5,Intel Core i5-12400F,2993.54,Western Digital Black SN770,727.45,G.Skill Ripjaws V 64 GB,2975.32,MSI MPG B650 EDGE WIFI,3711.36,EVGA SuperNOVA 750 GA,238.87,XFX Speedster SWFT 319 Core,7534.02,18789.06
Lian Li O11 Dynamic EVO,842.59,Intel Pentium Gold G5500,1783.6,Solidigm P41 Plus,1234.13,TEAMGROUP Vulcan Z 16 GB,773.29,Gigabyte Z790I AORUS ULTRA,3136.85,EVGA 700 BR,261.95,MSI GAMING X,7895.56,15927.97
BitFenix Nova Mesh M ARGB,165.4,Intel Xeon E5-2690 V4,1310.84,TEAMGROUP MP34,55.78,Corsair Vengeance RGB Pro SL 32 GB,3819.3,MSI MAG B650 TOMAHAWK WIFI,2536.38,SeaSonic PRIME Fanless,357.58,MSI VENTUS 2X BLACK OC,6009.74,14255.02
HYTE Y60 Snow White,907.67,Intel Core i7-9700,1699.49,Lexar NM710,1885.47,Corsair Dominator Titanium 32 GB,1040.15,Gigabyte B550I AORUS PRO AX,3842.11,EVGA 650 BQ,139.37,Sapphire PURE,9672.23,19186.49
Montech AIR 903 MAX,301.26,Intel Core i7-14700K,1226.95,TEAMGROUP MP33 PRO,1331.25,Crucial CT16G48C40U5 16 GB,1893.58,ASRock X670E Taichi Carrara,2186.71,Apevia Galaxy,242.19,MSI SUPRIM LIQUID X,9376.76,16558.7
Montech AIR 903 MAX,52.87,Intel Core i5-14500,873.7,TEAMGROUP MP34,792.15,Kingston FURY Beast 8 GB,3360.33,ASRock X570 Phantom Gaming-ITX/TB3,1007.41,be quiet! Pure Power 12 M,20.93,MSI RTX 4090 GAMING SLIM 24G,667.66,6775.05
SAMA IM01,348.11,Intel Core i5-14600K,3702.97,Western Digital Red,492.23,TEAMGROUP T-Create Expert 64 GB,1768.16,ASRock H370M-HDV,1589.47,Thermaltake Toughpower SFX,85.92,PNY XLR8 Gaming VERTO EPIC-X RGB OC,5510.01,13496.87
Antec NX100,709.29,Intel Core i5-8500,319.28,Samsung 980,117.15,Samsung M378A2K43CB1-CTD 16 GB,3684.19,MSI B550 GAMING GEN3,2295.3,Deepcool DQ750-M-V2L,670.12,MSI GAMING X,9531.1,17326.43
Lian Li PC-O11 Dynamic,875.84,Intel Core i5-13500,561.31,Crucial T700,313.76,Silicon Power XPOWER Turbine 32 GB,471.78,Gigabyte B650M D3HP,2441.15,Corsair TX550M Gold,266.02,Asus TUF GAMING OC,7157.54,12087.4
Fractal Design Torrent,167.01,Intel Core i7-7700,3756.2,TEAMGROUP MP44L,898.2,G.Skill Trident Z5 RGB 64 GB,779.63,Asus ProArt X670E-CREATOR WIFI,793.15,EVGA SuperNOVA 650 GT,103.68,PNY VERTO,1092.24,7590.11
GameMax Edge,639.88,AMD Ryzen 5 5600,1229.81,Samsung PM893,1121.79,Corsair Dominator Platinum RGB 32 GB,2283.67,Asus TUF GAMING X570-PLUS (WI-FI),2041.87,Cooler Master MWE Gold V2 ATX3.0,697.61,Inno3D Twin X2,3129.95,11144.58
GAMDIAS AURA GC1,852.44,Intel Core i5-12400F,2163.89,Intel DC P3600,313.15,Silicon Power SP016GLLTU160N22 16 GB,3366.84,ASRock Z790 Pro RS,654.34,Apevia CAPTAIN,100.74,ASRock Phantom Gaming OC,546.34,7997.74
Fractal Design Node 304,937.38,Intel Core i7-4770S,3446.06,Western Digital Blue SA510,185.54,Patriot Viper Venom 16 GB,854.22,MSI Z490-A PRO,1212.05,Deepcool PX1200G,576.36,MSI GAMING TRIO CLASSIC,298.8,7510.41
MSI MAG VAMPIRIC 100R,724.6,Intel Core i7-11700,3904.2,Toshiba MG10 512e,1891.59,Corsair Vengeance 64 GB,2274.57,MSI MPG Z790 EDGE TI MAX WIFI,1906.17,Lian Li SP850,31.43,Gigabyte AERO OC V2,9390.37,20122.93
Fractal Design Pop Air,392.45,AMD Ryzen 9 7900,343.47,MSI SPATIUM M570 HS,1573.45,Corsair Vengeance RGB Pro 64 GB,3880.95,Gigabyte B650M DS3H,1085.69,Corsair RM850x,598.38,MSI D3H LP,4846.52,12720.91
ZZEW A1 Plus,157.89,Intel Core i5-3470,555.14,Transcend 250S,2355.83,G.Skill Flare X5 32 GB,2740.4,ASRock B660M Pro RS,2560.23,Cooler Master MWE Bronze V2,503.15,MSI SUPRIM X,8208.15,17080.79
GAMDIAS AURA GC1,176.27,Intel Core i5-11600KF,1203.53,VisionTek QLC,18.48,TEAMGROUP T-Create Expert 32 GB,1106.41,Gigabyte B550 AORUS ELITE AX V2,2607.28,Gigabyte UD750GM,548.99,Asus TUF Gaming OG OC,6461.43,12122.39
Thermaltake S100 Snow Edition,159.35,AMD Ryzen 3 3200G,407.17,Kingston NV1,156.5,Corsair Vengeance RGB Pro 32 GB,3721.89,ASRock B450M/ac R2.0,2593.08,Super Flower Leadex Platinum,634.05,Asus ROG STRIX GAMING OC,9335.88,17007.92
be quiet! Pure Base 500DX,99.88,Intel Celeron G3900,3584.34,ADATA SU630,2423.64,Corsair Dominator Titanium 32 GB,1494.78,Asus TUF GAMING B550-PLUS,723.59,EVGA 600 GD,228.15,Zotac GAMING Trinity,6638.08,15192.46
Thermaltake Core V1,80.0,Intel Core i7-12700,1122.7,Sabrent Rocket 4 Plus,163.28,TEAMGROUP T-Force Delta RGB 64 GB,3079.75,ASRock A620M Pro RS WiFi,905.33,Super Flower Leadex Platinum,164.03,Asus TUF Gaming OG OC,278.36,5793.45
NZXT H9 Flow,556.67,Intel Core i3-12100,3380.72,Seagate IronWolf Pro,1981.06,G.Skill Trident Z5 Neo RGB 32 GB,2556.9,Asus PRIME B650M-A WIFI II,2971.73,EVGA SuperNOVA 850 GT,560.15,MSI SUPRIM X,175.01,12182.24
Asus Prime AP201,943.6,Intel Core i5-9600KF,2389.02,Inland Performance Plus,1059.43,TEAMGROUP T-Force Delta RGB 48 GB,581.13,Gigabyte B450M K,1362.95,MSI MAG A750BN PCIE5,292.96,MSI Ventus XS OCV1,9714.02,16343.11
Deepcool CH560 DIGITAL,761.62,Intel Core i5-7500,2204.56,Mushkin Source HC,1031.93,Silicon Power XPOWER Zenith Gaming 32 GB,3243.78,Gigabyte B760M DS3H DDR4,2709.96,Super Flower Leadex III Gold,416.67,MSI GT 710 2GD3H LP,5172.28,15540.8
Asus Prime AP201,691.91,Intel Core i9-10940X,969.73,Western Digital Black SN850X,463.14,TEAMGROUP T-Force Vulcan Z 32 GB,2311.15,Asus PRIME X670-P WIFI,1480.13,Gigabyte P850GM,373.16,XFX Speedster SWFT 319 Core,2344.04,8633.26
Deepcool MACUBE 110,336.24,Intel Core i7-6900K,1713.22,ADATA LEGEND 850 LITE,2277.99,Crucial CT8G48C40U5 8 GB,2044.51,MSI B550M PRO-VDH WIFI,792.32,SHARKOON SilentStorm Cool Zero 750,541.87,Asus GT730-4H-SL-2GD5,3469.1,11175.25
be quiet! Pure Base 500DX,591.48,AMD FX-6100,2584.56,Crucial P3 Plus,1697.27,Patriot Viper Venom 32 GB,1098.41,ASRock B550M Steel Legend,226.92,EVGA 750 N1,690.15,Gigabyte EAGLE,291.69,7180.48
Fractal Design Core 2300,972.07,AMD Ryzen 9 3950X,798.76,TEAMGROUP T-Force Vulcan Z,2167.0,Silicon Power GAMING 32 GB,659.02,Gigabyte Z790 UD AX,2625.82,be quiet! Dark Power 13,474.65,XFX Speedster MERC 308 Black,9883.37,17580.69
NZXT H5 Elite,794.73,Intel Xeon E3-1245 V5,1191.28,Kingston NV1,2186.94,Corsair Dominator Titanium 96 GB,2323.05,Asus TUF GAMING B550-PLUS,2023.66,Thermaltake Toughpower SFX,707.07,XFX Speedster MERC 310 Black Edition,7570.59,16797.32
Lian Li PC-O11 Dynamic,333.24,Intel Core i3-6100,349.9,Leven JS600,1508.89,Corsair Dominator Titanium 96 GB,1879.19,MSI B650 GAMING PLUS WIFI,2284.07,EVGA 400 N1,448.12,Acer Predator BiFrost OC,1126.37,7929.78
Cooler Master Cosmos C700M,259.12,Intel Core i9-14900K,3759.05,Leven JPS800,91.25,Kingston Server Premier 32 GB,2389.1,ASRock B660M Pro RS,3252.2,NZXT C1000 (2022),411.1,XFX RX-79GMERCB9,8411.86,18573.68
Cooler Master MasterBox NR200P V2,885.28,AMD Ryzen 5 1600 (14nm),871.58,Western Digital Black SN750,1961.54,Corsair Dominator Platinum RGB 32 GB,116.5,Asus PRIME B550M-A/CSM,2428.29,EVGA SuperNOVA 850G XC,458.67,Asus ROG Matrix Platinum,4098.07,10819.93
Thermaltake Versa H18,296.38,Intel Core i7-8700,22.63,Kingston NV2,2473.29,G.Skill Trident Z5 Neo RGB 32 GB,724.25,Gigabyte Z790 AORUS PRO X,2904.61,SeaSonic PRIME TX-1600 ATX 3.0,511.2,Sapphire NITRO+,9174.45,16106.81
Montech SKY TWO GX,688.79,Intel Core i3-10105F,4108.08,Kingston KC3000,26.99,Crucial CT2K8G48C40U5 16 GB,1554.93,Gigabyte B650M D3HP AX,3939.33,Corsair RM750,97.55,MSI D3H LP,6276.71,16692.38
Jonsbo N2,293.33,Intel Core i7-8700,3651.31,Crucial P3,1749.28,G.Skill Trident Z5 RGB 96 GB,2784.69,MSI B450 Gaming Plus MAX,1222.92,Cooler Master MWE Bronze V2,112.92,MSI VENTUS 3X E OC,8416.57,18231.02
Deepcool CH370,990.15,Intel Core i5-11600,2285.89,Mushkin Source HC,1853.85,Lexar THOR OC 32 GB,2470.13,ASRock X670E Taichi Carrara,2604.91,Gigabyte UD1000GM PG5 (rev. 2.0),637.26,MSI GAMING X,2619.72,13461.91
Asus TUF Gaming GT502,421.62,Intel Core i7-3930K,2191.48,Western Digital SE,1214.44,G.Skill Ripjaws V 16 GB,3811.66,ASRock Z690 Phantom Gaming-ITX/TB4,144.49,be quiet! Dark Power 13,626.88,NVIDIA Founders Edition,8420.58,16831.15
GameMax M60,631.69,Intel Pentium E2160,1297.42,Samsung 970 Evo,1233.96,Corsair Vengeance RGB Pro SL 32 GB,15.27,Asus TUF GAMING B650M-PLUS WIFI,677.37,Cooler Master MWE Bronze V2,113.46,Gigabyte GAMING OC,9254.94,13224.11
HYTE Y60 Snow White,534.33,AMD Ryzen 7 5700X3D,890.75,Samsung 980,576.28,G.Skill Trident Z Royal 32 GB,1852.99,MSI PRO Z790-A MAX WIFI,2997.78,EVGA 850 B5,216.28,Asus STRIX GAMING OC,6721.22,13789.63
Montech SKY TWO GX,577.01,Intel Core i7-4770K,3535.7,Seagate IronWolf Pro NAS,1695.28,G.Skill Trident Z5 RGB 96 GB,2667.96,ASRock X670E PG Lightning,3232.67,Deepcool PQ1000M,286.44,Asus DUAL,8059.32,20054.38
Fractal Design Pop XL Air,862.37,Intel Core i9-13900,603.5,Seagate FireCuda,916.16,TEAMGROUP T-Create Expert 16 GB,2791.55,MSI MAG X670E TOMAHAWK WIFI,3129.64,be quiet! Pure Power 11,439.48,NVIDIA 9001G4112520001,7584.75,16327.45
Phanteks Enthoo Pro,695.97,Intel Core i5-4570T,1288.18,TEAMGROUP QX,73.41,KingBank SharpBlade 32 GB,685.3,Asus TUF GAMING X670E-PLUS WIFI,3613.16,Silverstone SX650-G,255.08,EVGA SC2,8836.19,15447.29
NZXT H6 Flow RGB,893.82,Intel Core i5-10500,3063.33,Western Digital Green SN350,1081.63,Silicon Power XPOWER Turbine 32 GB,1461.2,ASRock X570 Phantom Gaming-ITX/TB3,616.48,Thermaltake Toughpower GF3 Snow,169.92,MSI Radeon RX 6900 XT GAMING X TRIO 16G,6410.58,13696.96
Corsair 2500D Airflow,732.76,AMD Ryzen 9 3900XT,1799.72,Mushkin Helix-L,2420.19,Corsair Dominator Titanium 48 GB,1136.86,Asus ROG STRIX B650E-I GAMING WIFI,1834.98,Lian Li SP850,441.48,Asus DUAL OC,7063.25,15429.24
ZZEW A1 Plus,996.1,Intel Xeon E3-1220 V3,1384.71,MSI SPATIUM M482,2017.77,Corsair Vengeance RGB 64 GB,1893.69,MSI B760 GAMING PLUS WIFI,2617.48,Asus TUF Gaming 1000G,50.63,PNY VERTO OC,2950.25,11910.63
be quiet! Shadow Base 800 FX,660.98,Intel Core i7-12700K,3910.04,Patriot P210,2306.57,Kingston FURY Beast RGB 32 GB,2328.47,ASRock B450M/ac R2.0,2652.34,EVGA SuperNOVA 650 GA,579.57,EVGA FTW3 ULTRA GAMING,7741.22,20179.19
NZXT H9 Flow,954.53,Intel Core i5-13400,788.15,Patriot P300,1222.84,TEAMGROUP Elite 16 GB,1202.27,ASRock H670M-ITX/ax,2737.67,Silverstone SFX,569.99,Asus TUF Gaming OG OC,9725.85,17201.3
Montech SKY TWO,552.01,Intel Core i7-7700K,4163.65,Corsair MP700 PRO w/Heatsink,26.32,G.Skill Aegis 16 GB,3344.39,Asus PRIME B550-PLUS,3737.52,Gigabyte UD-GM PG5,411.63,ASRock Challenger D OC,7933.73,20169.25
MSI MAG PANO M100R PZ,322.67,Intel Core i9-10850K,2378.98,TEAMGROUP MP34,59.76,Crucial CT8G48C40U5 8 GB,2195.5,Asus PRIME B550M-A/CSM,1765.95,Corsair SF850L,589.26,EVGA XC3 ULTRA GAMING,5502.86,12814.98
Montech X3 Mesh,687.84,Intel Core i7-7700K,1539.54,ADATA XPG GAMMIX S70 Blade,2031.87,G.Skill Ripjaws V 64 GB,3323.4,MSI B550 GAMING GEN3,2082.83,Super Flower Leadex Titanium,457.08,Zotac GAMING Trinity,1551.37,11673.93
Deepcool MATREXX 40,315.7,Intel Celeron G3900,3112.88,Western Digital Black SN770,2107.74,G.Skill Trident Z RGB 64 GB,3557.46,Gigabyte Z790 AORUS ELITE X WIFI7,222.51,Deepcool PX1200G,277.02,Gigabyte EAGLE,2597.2,12190.51
Fractal Design Focus 2,89.63,Intel Core i5-13400F,1339.14,Patriot P310,2259.31,Klevv BOLT V 32 GB,500.72,MSI PRO B550M-P GEN3,3218.58,EVGA 650 BQ,110.34,Gigabyte AERO OC V2,1396.27,8913.99
Corsair 2000D AIRFLOW,830.21,Intel Core i5-12500,1473.5,Kingston A400,1098.36,Lexar THOR OC 32 GB,1036.88,Gigabyte X670E AORUS MASTER (rev. 1.0),619.76,EVGA SuperNOVA 750 G5,481.22,Asus ProArt OC,9426.52,14966.45
Fractal Design Pop Mini Air,894.84,Intel Core i7-7700,1437.6,Silicon Power UD85,866.79,G.Skill Trident Z5 RGB 32 GB,3593.47,ASRock B660M Pro RS,1393.21,EVGA SuperNOVA 850 GT,520.13,XFX Speedster SWFT 210,1338.54,10044.58
Lian Li O11D EVO RGB,988.29,Intel Core i7-10700KF,652.13,Crucial BX500,2351.86,TEAMGROUP T-Force Xtreem ARGB 32 GB,3475.32,ASRock X570 Phantom Gaming-ITX/TB3,1663.04,Asus TUF Gaming 750G,631.45,ASRock Challenger D OC,9982.98,19745.07
Deepcool CC560 V2,654.97,Intel Core i7-8700K,1323.82,Samsung 980,193.86,G.Skill Trident Z RGB 64 GB,942.44,Gigabyte B550 GAMING X V2,1409.51,Asus ROG THOR 850P,281.06,AMD 100-505999,9704.02,14509.68
Cooler Master MasterBox TD500 Mesh White w/ Controller,57.67,Intel Xeon E3-1245,724.23,Solidigm P44 Pro,94.33,Corsair Vengeance RGB 192 GB,3450.74,Asus ProArt Z790-CREATOR WIFI,1071.69,Thermaltake Smart,376.52,Gigabyte Vision OC,7487.08,13262.26
SAMA ARGB-Q5,756.34,Intel Core i7-10700,385.17,Western Digital Blue SN570,2477.44,Patriot Signature Line 8 GB,1661.0,Gigabyte B760 DS3H AC DDR4,1021.46,Corsair RM750e (2023),225.29,MSI D6 VENTUS XS OCV3,9397.58,15924.28
Fractal Design Focus G,177.77,AMD Ryzen 9 3950X,3973.15,SanDisk SSD PLUS,1549.26,G.Skill Ripjaws S5 96 GB,1858.6,Gigabyte A520I AC,1906.07,Gigabyte P850GM,622.54,Asus ROG STRIX-GTX1070-O8G-GAMING,3084.94,13172.33
Corsair 275R Airflow,119.34,Intel Core i3-14100F,2981.24,Crucial BX500,2282.05,TEAMGROUP T-Create Expert 64 GB,732.85,ASRock A520M-ITX/ac,1312.09,Silverstone TX500-G,303.63,EVGA XC3 ULTRA GAMING,8471.5,16202.7
DIYPC ARGB Q10,665.83,AMD FX-6100,1625.96,Silicon Power UD85,882.02,Corsair Dominator Platinum RGB 64 GB,272.06,MSI MPG X670E CARBON WIFI,928.68,SeaSonic FOCUS Plus Gold,133.49,Zotac GAMING AMP Extreme AIRO,1594.15,6102.19
Deepcool CH370,137.92,AMD Ryzen 5 5500,2918.19,Intel 750,1618.37,G.Skill Ripjaws S5 64 GB,917.99,Gigabyte B760 DS3H AC DDR4,1132.45,Lian Li SP,507.78,MSI GT 710 2GD3H LP,6206.29,13438.99
Corsair iCUE 5000T RGB,811.13,AMD Ryzen 7 5800X3D,2617.45,Western Digital Black SN750,1655.9,G.Skill Trident Z5 RGB 64 GB,3692.46,MSI A520M-A PRO,1935.35,EVGA SuperNOVA 650 GA,90.57,MSI ARMOR OC,741.19,11544.05
Jonsbo N1,252.42,Intel Core i3-7350K,292.98,Seagate Exos X18,327.7,Corsair Vengeance RGB 64 GB,3567.95,Gigabyte X670 GAMING X AX V2,3269.58,Apevia CAPTAIN,204.71,PNY VCNRTX6000ADA-PB,2990.71,10906.05
be quiet! Silent Base 802,944.32,Intel Core i7-3930K,423.79,ADATA XPG SX8200 Pro,465.82,TEAMGROUP T-Force Delta RGB 48 GB,3598.57,Gigabyte B650M K,665.25,G.Skill MB750G,398.88,PowerColor Red Devil,6483.16,12979.79
Fractal Design Torrent RGB,720.07,AMD Ryzen 7 7700,1718.41,Western Digital Black SN770,871.96,Corsair Dominator Titanium 32 GB,3239.75,Biostar H610MH,1315.76,EVGA SuperNOVA 1000 P3,283.84,EVGA XC3 ULTRA GAMING,5154.3,13304.09
Lian Li PC-O11 Dynamic,96.9,Intel Core i9-12900,1166.38,Western Digital Ultrastar DC HC550,765.55,G.Skill Flare X5 32 GB,3394.89,Gigabyte H510M S2H V3,3151.41,Gigabyte P450B,62.17,MSI GT 710 2GD3H LP,6224.91,14862.21
Asus Prime AP201,138.57,Intel Core i5-12500,3036.39,Crucial T500,529.24,Corsair Vengeance LPX 32 GB,783.66,ASRock B450M-HDV R4.0,1608.71,Thermaltake Smart BX1,652.49,Asus TUF GAMING OC,3452.72,10201.78
Lian Li O11 Dynamic EVO XL,133.33,Intel Core i7-7820X,2544.64,Samsung 870 Evo,1282.18,Corsair Vengeance RGB 64 GB,3883.88,Gigabyte B650 GAMING X AX,3789.16,SeaSonic FOCUS Plus Gold,414.16,EVGA FTW3 ULTRA GAMING,8115.9,20163.25
Thermaltake Core V1,815.63,AMD Ryzen 7 5700X,2856.77,Samsung 970 Evo,1701.5,Silicon Power SP016GLLTU160N22 16 GB,395.97,MSI PRO B760M-A WIFI DDR4,3812.77,EVGA SuperNOVA 850G XC,448.82,ASRock Challenger Pro OC,5754.67,15786.13
Fractal Design Ridge PCIe 4.0,198.27,Intel Core i7-4930K,1777.92,Samsung 850 Evo,1184.62,Crucial Classic 8 GB,488.46,Gigabyte Z790 UD AX,287.5,SeaSonic VERTEX GX-1200,205.36,Gigabyte Vision OC,2112.84,6254.97
Fractal Design Ridge PCIe 4.0,909.28,Intel Core i3-12100,3221.09,Samsung 980 Pro w/Heatsink,2049.3,Corsair Vengeance RGB RT 32 GB,1507.77,Asus ROG STRIX Z790-H GAMING WIFI,3464.54,SeaSonic FOCUS PX,635.2,XFX Speedster SWFT 319 Core,3070.94,14858.12
Thermaltake S200 TG ARGB,45.46,Intel Core i5-13500,863.57,Samsung 860 Evo,600.69,G.Skill Trident Z5 Neo RGB 64 GB,683.78,Asus PRIME B550M-A WIFI II,3213.52,GameMax GX Pro Rampage,57.33,XFX Speedster SWFT 319,756.28,6220.63
GameMax Edge,687.69,Intel Xeon E-2124,533.86,TEAMGROUP MP33,2178.26,Crucial CT8G48C40U5 8 GB,567.37,MSI B450M-A PRO MAX II,785.38,Corsair RM850x (2021),212.63,XFX Speedster QICK 319 Core,8177.02,13142.21
Silverstone SUGO 14,734.98,Intel Core i7-7800X,345.14,Seagate Constellation CS,1799.82,G.Skill Aegis 32 GB,3280.0,ASRock B650 LiveMixer,3000.0,NZXT C1200,486.93,Inno3D Twin X2,6878.05,16524.92
Thermaltake S200 TG ARGB,92.3,Intel Core i9-12900KF,472.38,Samsung 980 Pro w/Heatsink,1487.6,TEAMGROUP T-Force Vulcan Z 32 GB,276.59,Gigabyte TRX40 AORUS PRO WIFI,3435.31,Asus TUF Gaming 750G,537.37,MSI RTX 4090 GAMING SLIM 24G,9676.5,15978.05
Corsair iCUE 5000T RGB,509.84,Intel Xeon E5-2680 V4,1065.64,Acer Predator GM7000,1766.18,Corsair Vengeance 96 GB,3754.85,Supermicro X11SCL-IF,879.42,Thermaltake Smart,551.93,ASRock Challenger Pro OC,7817.39,16345.25
MSI MAG FORGE 100R,600.81,Intel Core i3-2120,315.13,Leven JPS600,1258.41,TEAMGROUP T-Force Delta RGB 48 GB,2623.71,Gigabyte B450M DS3H WIFI,526.81,SHARKOON SilentStorm Cool Zero 750,625.48,PNY VERTO OC,630.85,6581.2
Lian Li O11 Dynamic EVO,238.96,AMD Ryzen 9 7900,185.57,TEAMGROUP GX2,211.15,TEAMGROUP T-Create Expert 64 GB,2376.13,Asus TUF GAMING X670E-PLUS WIFI,468.16,SeaSonic FOCUS Plus 750 Gold,29.28,XFX GTS XXX,939.64,4448.89
HYTE Y60 Snow White,435.85,Intel Core i9-10980XE,4021.26,TEAMGROUP GX2,969.14,KingBank SharpBlade RGB 32 GB,601.58,MSI MPG Z690 FORCE WIFI,3674.81,Corsair SF850L,67.65,ASRock Phantom Gaming OC,872.74,10643.03
Fractal Design North XL,971.0,Intel Core i3-3250,1786.51,Corsair MP600 CORE XT,1420.31,Crucial CT16G48C40U5 16 GB,1488.48,Asus TUF GAMING Z790-PRO WIFI,2773.46,be quiet! Pure Power 12 M,708.12,Zotac GAMING Twin Edge,4216.42,13364.3
MSI MAG FORGE 100R,971.06,Intel Core i5-14400,3579.01,TEAMGROUP MP44L,364.57,Silicon Power GAMING 32 GB,1559.77,Asus ROG STRIX B650E-I GAMING WIFI,207.28,SeaSonic PRIME PX-1600 ATX 3.0,565.07,PowerColor Red Dragon OC,5318.02,12564.78
Fractal Design Pop Mini Silent,250.84,AMD Ryzen 9 3950X,2368.71,Kingston NV2,477.53,Patriot Signature Line 8 GB,1317.96,ASRock Z790 PG Lightning/D4,2886.92,Apevia Galaxy,584.13,Acer Predator BiFrost OC,3844.68,11730.77
Fractal Design North,554.01,Intel Core i5-12500,2492.24,Kingston KC3000,2263.2,G.Skill Trident Z Royal 32 GB,1111.37,ASRock B650M-HDV/M.2,1109.15,SeaSonic FOCUS GX-750 ATX 3.0,53.01,XFX Speedster QICK 319 Core,7814.82,15397.8
Montech AIR 903 MAX,216.67,AMD Ryzen 5 3600X,256.94,SK Hynix Platinum P41,180.97,TEAMGROUP T-Force Vulcan Z 16 GB,2439.26,ASRock A520M-ITX/ac,1826.19,MSI MAG A750GL PCIE5,555.24,ASRock Challenger D,1022.66,6497.93
Thermaltake S200 TG ARGB,826.69,Intel Core i5-760,3877.42,Crucial T705 W/Heatsink Limited Edition,1943.5,TEAMGROUP Elite 16 GB,2872.02,Asus PRIME B450M-K II,1956.31,Corsair SF850L,541.06,Asus DUAL,1638.0,13655.0
Jonsbo N2,36.61,Intel Core i9-9900KF,1660.73,Crucial T700 W/Heatsink,1060.43,Kingston FURY Beast RGB 64 GB,3447.52,Gigabyte B760 DS3H AC DDR4,2641.32,GameMax GX Pro Rampage,247.1,MSI GAMING X SLIM,212.33,9306.04
Thermaltake S100 Snow Edition,495.09,AMD Ryzen 3 4100,3004.41,Klevv CRAS C710,1740.24,Klevv BOLT V 32 GB,1706.32,Asus TUF GAMING B550-PLUS WIFI II,1533.1,PowerSpec PS 750BSM,412.44,NVIDIA Founders Edition,9501.74,18393.34
